date,parent,child
2020-06-16 5:18:09,10027,304164
2020-06-16 5:18:29,10027,3104
2020-06-16 5:18:50,10027,35726
2020-06-16 5:19:10,10027,3709
2020-06-16 5:19:30,10027,372384
2020-06-16 5:19:50,10027,38762
2020-06-16 5:20:10,10027,39174
2020-06-16 5:20:31,10027,3956
2020-06-16 5:20:51,10027,436696
2020-06-16 5:21:11,10027,44460
2020-06-16 5:21:31,10027,463241
2020-06-16 5:21:51,10027,463961
2020-06-16 5:22:12,10027,463962
2020-06-16 5:22:32,10027,463963
2020-06-16 5:22:52,10027,463964
2020-06-16 5:23:12,10027,463965
2020-06-16 5:23:32,10027,463966
2020-06-16 5:23:53,10027,4686
2020-06-16 5:24:13,10027,5279
2020-06-16 5:24:33,10027,54866
2020-06-16 5:24:53,10027,66924
2020-06-16 5:25:14,10027,7299
2020-06-16 5:25:34,10027,9000
2020-06-16 5:25:54,10027,9078
2020-06-16 5:26:14,10027,9484
2020-06-16 5:26:34,10028,10018
2020-06-16 5:26:55,10028,10048
2020-06-16 5:27:15,10028,10052
2020-06-16 5:27:35,10028,10061
2020-06-16 5:27:55,10028,10071
2020-06-16 5:28:15,10028,10390
2020-06-16 5:28:36,10028,10396
2020-06-16 5:28:56,10028,104046
2020-06-16 5:29:16,10028,104068
2020-06-16 5:29:36,10028,105
2020-06-16 5:29:56,10028,10515
2020-06-16 5:30:17,10028,10588
2020-06-16 5:30:37,10028,10814
2020-06-16 5:30:57,10028,111
2020-06-16 5:31:17,10028,11106
2020-06-16 5:31:37,10028,111938
2020-06-16 5:31:58,10028,11361
2020-06-16 5:32:18,10028,11389
2020-06-16 5:32:38,10028,113978
2020-06-16 5:32:58,10028,117175
2020-06-16 5:33:18,10028,11736
2020-06-16 5:33:39,10028,11789
2020-06-16 5:33:59,10028,11891
2020-06-16 5:34:19,10028,1196
2020-06-16 5:34:39,10028,12758
2020-06-16 5:34:59,10028,12826
2020-06-16 5:35:20,10028,12931
2020-06-16 5:35:40,10028,134604
2020-06-16 5:36:00,10028,135020
2020-06-16 5:36:20,10028,1458
2020-06-16 5:36:40,10028,151769
2020-06-16 5:37:01,10028,1610
2020-06-16 5:37:21,10028,1688
2020-06-16 5:37:41,10028,17999
2020-06-16 5:38:01,10028,18156
2020-06-16 5:38:22,10028,185867
2020-06-16 5:38:42,10028,188259
2020-06-16 5:39:02,10028,18827
2020-06-16 5:39:22,10028,19254
2020-06-16 5:39:42,10028,19437
2020-06-16 5:40:03,10028,201905
2020-06-16 5:40:23,10028,20674
2020-06-16 5:40:43,10028,21987
2020-06-16 5:41:03,10028,221997
2020-06-16 5:41:23,10028,227140
2020-06-16 5:41:44,10028,228261
2020-06-16 5:42:04,10028,23120
2020-06-16 5:42:24,10028,23659
2020-06-16 5:42:44,10028,241663
2020-06-16 5:43:04,10028,242229
2020-06-16 5:43:25,10028,242370
2020-06-16 5:43:45,10028,24884
2020-06-16 5:44:05,10028,249215
2020-06-16 5:44:25,10028,254445
2020-06-16 5:44:45,10028,255188
2020-06-16 5:45:06,10028,255201
2020-06-16 5:45:26,10028,255469
2020-06-16 5:45:46,10028,256775
2020-06-16 5:46:06,10028,259773
2020-06-16 5:46:26,10028,263444
2020-06-16 5:46:47,10028,263462
2020-06-16 5:47:07,10028,263466
2020-06-16 5:47:27,10028,263597
2020-06-16 5:47:47,10028,265546
2020-06-16 5:48:07,10028,266194
2020-06-16 5:48:28,10028,268389
2020-06-16 5:48:48,10028,272725
2020-06-16 5:49:08,10028,27328
2020-06-16 5:49:28,10028,273393
2020-06-16 5:49:48,10028,273395
2020-06-16 5:50:09,10028,27849
2020-06-16 5:50:29,10028,279807
2020-06-16 5:50:49,10028,281595
2020-06-16 5:51:09,10028,285543
2020-06-16 5:51:30,10028,29242
2020-06-16 5:51:50,10028,293172
2020-06-16 5:52:10,10028,293635
2020-06-16 5:52:30,10028,295500
2020-06-16 5:52:50,10028,2956
2020-06-16 5:53:11,10028,302573
2020-06-16 5:53:31,10028,30299
2020-06-16 5:53:51,10028,308075
2020-06-16 5:54:11,10028,3092
2020-06-16 5:54:31,10028,312270
2020-06-16 5:54:52,10028,31518
2020-06-16 5:55:12,10028,3175
2020-06-16 5:55:32,10028,317856
2020-06-16 5:55:52,10028,320591
2020-06-16 5:56:12,10028,32121
2020-06-16 5:56:33,10028,32469
2020-06-16 5:56:53,10028,32863
2020-06-16 5:57:13,10028,33668
2020-06-16 5:57:33,10028,340357
2020-06-16 5:57:53,10028,34340
2020-06-16 5:58:14,10028,35021
2020-06-16 5:58:34,10028,354371
2020-06-16 5:58:54,10028,357117
2020-06-16 5:59:14,10028,3598
2020-06-16 5:59:34,10028,360068
2020-06-16 5:59:55,10028,36364
2020-06-16 6:00:15,10028,366315
2020-06-16 6:00:35,10028,3705
2020-06-16 6:00:55,10028,379168
2020-06-16 6:01:15,10028,3827
2020-06-16 6:01:36,10028,386893
2020-06-16 6:01:56,10028,38718
2020-06-16 6:02:16,10028,38908
2020-06-16 6:02:36,10028,39174
2020-06-16 6:02:56,10028,395890
2020-06-16 6:03:17,10028,3962
2020-06-16 6:03:37,10028,4022
2020-06-16 6:03:57,10028,413182
2020-06-16 6:04:17,10028,41514
2020-06-16 6:04:37,10028,41537
2020-06-16 6:04:58,10028,4205
2020-06-16 6:05:18,10028,4331
2020-06-16 6:05:38,10028,442067
2020-06-16 6:05:58,10028,44257
2020-06-16 6:06:19,10028,459215
2020-06-16 6:06:39,10028,463236
2020-06-16 6:06:59,10028,463239
